full_address,lon,lat,transfer_tax,property_tax,property_tax_list
"28 Warren St, Boston, 2119",-71.083158,42.329742,19213,301382.04,"[11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 11836.0, 13982.880000000001, 15171.16]"

"10 Winthrop Ln, Boston, 2110",-71.057995,42.355022,1984388,21558198.480000004,"[787000.0, 787000.0, 787000.0, 787000.0, 787000.0, 787000.0, 787000.0, 787000.0, 787000.0, 787000.0, 783632.0, 797050.08, 824315.68, 842781.3200000001, 856248.04, 870828.0, 871753.84, 883801.64, 903516.48, 926520.88, 944188.24, 956178.52, 1003703.92, 1088400.2, 1135279.6400000001]"

"1 Worcester Sq #2, Boston, 2118",-71.075668,42.337475,0,31052.600000000002,"[715.0, 715.0, 715.0, 715.0, 715.0, 715.0, 715.0, 715.0, 715.0, 715.0, 715.0, 806.44, 992.24, 1118.08, 1209.8500000000001, 1309.21, 1315.52, 1397.6200000000001, 1531.97, 1688.74, 1809.13, 1890.8400000000001, 2214.71, 2791.89, 3111.36]"

"1 Appian Pl, Boston, 2128",-71.064351,42.379647,0,4730.26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.99, 70.06, 176.53, 300.77, 396.18, 460.94, 717.6, 1175.01, 1428.18]"

"1-3 Glenley Ter, Boston, 2135",-71.169755,42.348426,0,54431.000000000015,"[1750.0, 1750.0, 1750.0, 1750.0, 1750.0, 1750.0, 1750.0, 1750.0, 1750.0, 1750.0, 1750.0, 1750.0, 1750.0, 1891.74, 1995.1200000000001, 2107.04, 2114.15, 2206.63, 2357.9700000000003, 2534.57, 2670.19, 2762.23, 3127.05, 3777.2200000000003, 4137.09]"

"1-3 Higgins St, Boston, 2134",-71.135761,42.353385,0,91273.59000000001,"[3300.0, 3300.0, 3300.0, 3300.0, 3300.0, 3300.0, 3300.0, 3300.0, 3300.0, 3300.0, 3300.0, 3300.0, 3300.0, 3300.0, 3300.0, 3300.0, 3308.29, 3416.3, 3593.05, 3799.28, 3957.67, 4065.1600000000003, 4491.22, 5501.04, 6341.58]"

"1-9 Henshaw St, Boston, 2135",-71.149495,42.349388,0,52530.07999999999,"[600.0, 600.0, 600.0, 689.6, 820.46, 977.61, 1180.8500000000001, 1378.63, 1557.24, 1806.41, 1779.19, 1887.65, 2108.06, 2257.33, 2366.19, 2484.05, 2491.53, 2588.92, 2748.29, 2934.25, 3077.06, 3173.9900000000002, 3558.17, 4242.82, 4621.78]"

"10 Alvan Ter, Boston, 2125",-71.06236,42.317004,0,106731.11000000002,"[4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4100.0, 4527.6900000000005, 5579.82, 6423.6]"

"10 Bickford Ave, Boston, 2120",-71.102429,42.326414,0,98176.76999999999,"[3542.5, 3542.5, 3542.5, 3542.5, 3542.5, 3542.5, 3542.5, 3542.5, 3542.5, 3542.5, 3542.5, 3542.5, 3542.5, 3542.5, 3542.5, 3542.5, 3551.04, 3662.2000000000003, 3844.11, 4056.37, 4219.38, 4330.01, 4768.52, 6100.02, 6965.12]"

"10-12 Breed St, Boston, 2128",-71.006611,42.387043,0,52624.11,"[1800.0, 1800.0, 1800.0, 1800.0, 1800.0, 1800.0, 1800.0, 1800.0, 1800.0, 1800.0, 1800.0, 1800.0, 1800.0, 1800.0, 1800.0, 1908.8, 1915.7, 2005.6100000000001, 2152.73, 2324.39, 2456.23, 2545.71, 2900.35, 3532.38, 3882.21]"

"10 Bremen St, Boston, 2128",-71.039026,42.368547,0,115381.32,"[4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 4500.0, 5520.0, 6361.32]"

